"atomic","symbol","name","weight","electronstring","melt","boil","valence","oxidation","discover","expandedconfig","isotopes","density_stp","density_liquid"
"unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected","unexpected"
"63","Eu","Европий","151.964","[Xe] 6s2 4f7","1095.","1.8e3","3","2c,3c","1901","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7",38,"5244.","5130."
"64","Gd","Гадолиний","157.25","[Xe] 6s2 4f7 5d1","1586.","3523.","3","1,2,3c","1880","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f7 5d1",36,"7901.","7400."
"65","Tb","Тербий","158.925354","[Xe] 6s2 4f9","1629.","3503.","4","1,3c,4","1843","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f9",36,"8219.","7650."
"66","Dy","Диспрозий","162.500","[Xe] 6s2 4f10","1685.","2840.","3","2,3c","1886","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f10",36,"8551.","8370."
"67","Ho","Гольмий","164.930329","[Xe] 6s2 4f11","1747.","2973.","3","3c","1878","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f11",36,"8795.","8340."
"68","Er","Эрбий","167.259","[Xe] 6s2 4f12","1770.","3141.","3","3c","1842","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f12",35,"9066.","8860."
"69","Tm","Тулий","168.934219","[Xe] 6s2 4f13","1818.","2223.","3","2,3c","1879","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f13",35,"9320.","8560."
"70","Yb","Иттербий","173.045","[Xe] 6s2 4f14","1092.","1469.","3","2,3c","1878","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14",35,"6570.","6210."
"71","Lu","Лютеций","174.9668","[Xe] 6s2 4f14 5d1","1936.","3675.","3","3c","1907","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d1",35,"9841.","9300."
"72","Hf","Гафний","178.486","[Xe] 6s2 4f14 5d2","2506.","4876.","4","2,3,4c","1923","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d2",36,"13310.","12000."
"73","Ta","Тантал","180.94788","[Xe] 6s2 4f14 5d3","3290.","5731.","5","-1,2,3,4,5c","1802","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d3",36,"16650.","15000."
"74","W","Вольфрам","183.84","[Xe] 6s2 4f14 5d4","3695.","5828.","6","-2,-1,1,2,3,4c,5,6c","1783","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d4",35,"19250.","17600."
"75","Re","Рений","186.207","[Xe] 6s2 4f14 5d5","3459.","5869.","7","-3,-1,1,2,3,4c,5,6,7","1925","1s2 2s2 2p6 3s2 3p6 4s2 3d10 4p6 5s2 4d10 5p6 6s2 4f14 5d5",35,"21020.","18900."
